route_id,vehicle_type,power,path,departure,return,customers,load_weight_kg,load_volume_m3,capacity_weight_kg,capacity_volume_m3,distance_km,cost,emissions_kg,late_minutes
1,EV-3000,electric,0-9-88-0,09:15,13:02,2,2648.91,7.1882,3000.0,15.0,86.67633315721311,468.9015050837621,16.955353742945746,0.0
2,EV-3000,electric,0-8-13-0,10:30,13:42,2,2896.133274,8.484584,3000.0,15.0,81.01641000399565,461.82204602933155,15.757049861722628,0.0
3,EV-3000,electric,0-76-8-0,09:30,13:21,2,2984.1973239999998,9.241894,3000.0,15.0,94.2210645754394,476.0145678419908,19.374404644182533,0.0
4,EV-3000,electric,0-76-8-0,09:30,13:21,2,2984.1973239999998,9.241894,3000.0,15.0,94.2210645754394,476.0145678419908,19.374404644182533,0.0
5,EV-3000,electric,0-37-8-0,08:45,13:25,2,2920.995474,9.024804,3000.0,15.0,133.3960688637463,510.02961846019656,28.044076437086197,0.0
6,EV-3000,electric,0-85-8-0,09:45,13:22,2,2949.876774,8.626354,3000.0,15.0,83.9311589463806,467.06478322945594,17.093305724802192,0.0
7,EV-3000,electric,0-86-11-6-0,09:30,14:05,3,2976.8359,10.20754,3000.0,15.0,118.4847229482819,497.4179466583823,23.90370671544661,2.0090862898042587
8,EV-3000,electric,0-6-5-0,10:45,20:35,2,2968.4221000000002,8.303989999999999,3000.0,15.0,88.33585298802551,591.0937604762478,17.553313747457615,0.0
9,EV-3000,electric,0-6-7-3-2-0,10:45,18:54,4,2612.1910333333335,6.802775,3000.0,15.0,135.7108471322605,558.1806823830162,25.90882746281536,0.0
10,EV-3000,electric,0-7-32-0,10:30,17:01,2,2930.078466666667,7.24589,3000.0,15.0,195.4568996274592,546.175846518432,37.256937453633356,0.0
11,EV-1250,electric,0-7-0,13:00,15:55,1,1243.8721333333333,3.060325,1250.0,8.5,124.4054541356592,496.94077407231134,24.70802422111158,0.0
12,EV-1250,electric,0-7-0,13:00,15:55,1,1243.8721333333333,3.060325,1250.0,8.5,124.4054541356592,496.94077407231134,24.70802422111158,0.0
13,EV-1250,electric,0-7-0,13:00,15:55,1,1243.8721333333333,3.060325,1250.0,8.5,124.4054541356592,496.94077407231134,24.70802422111158,0.0
14,EV-1250,electric,0-12-0,14:30,16:31,1,863.4208000000001,2.249725,1250.0,8.5,69.2528374292132,451.6112191726182,13.154539620726847,0.0
15,EV-1250,electric,0-12-0,14:30,16:31,1,863.4208000000001,2.249725,1250.0,8.5,69.2528374292132,451.6112191726182,13.154539620726847,0.0
16,EV-1250,electric,0-10-0,19:00,21:07,1,939.99625,3.6393725,1250.0,8.5,98.2773011746724,473.7168268698596,18.788762120316257,0.0
17,EV-1250,electric,0-10-0,19:00,21:07,1,939.99625,3.6393725,1250.0,8.5,98.2773011746724,473.7168268698596,18.788762120316257,0.0
18,EV-1250,electric,0-10-0,19:00,21:07,1,939.99625,3.6393725,1250.0,8.5,98.2773011746724,473.7168268698596,18.788762120316257,0.0
19,EV-1250,electric,0-10-0,19:00,21:07,1,939.99625,3.6393725,1250.0,8.5,98.2773011746724,473.7168268698596,18.788762120316257,0.0
20,EV-1250,electric,0-4-0,19:00,20:36,1,721.78105,1.7771949999999999,1250.0,8.5,70.0583442084346,451.1313578806069,13.032233763988533,0.0
21,EV-1250,electric,0-4-0,19:00,20:36,1,721.78105,1.7771949999999999,1250.0,8.5,70.0583442084346,451.1313578806069,13.032233763988533,0.0
22,EV-1250,electric,0-66-16-0,09:00,13:03,2,1024.3379666666667,3.0863,1250.0,8.5,99.63868389174975,475.8613611340033,19.335355698184138,0.0
23,EV-1250,electric,0-66-0,09:00,11:42,1,939.1379666666667,2.8932,1250.0,8.5,95.9412595017608,472.1860185987237,18.398593502383722,0.0
24,EV-1250,electric,0-66-0,09:00,11:42,1,939.1379666666667,2.8932,1250.0,8.5,95.9412595017608,472.1860185987237,18.398593502383722,0.0
25,EV-1250,electric,0-79-0,09:00,13:33,1,1157.565,3.6832599999999998,1250.0,8.5,142.1726067760906,510.1404779026008,28.07233201699338,0.0
26,Fuel-3000,fuel,0-79-35-94-0,08:00,14:29,3,2859.3296,7.58557,3000.0,13.5,177.47536211193722,932.4127025873552,139.61092208876298,29.438480249920303
27,Fuel-3000,fuel,0-42-38-0,09:00,14:08,2,2757.3109000000004,7.075866666666666,3000.0,13.5,169.6384210884139,890.6747763960706,128.0211547882048,29.274458007474323
28,Fuel-3000,fuel,0-42-38-0,09:00,14:08,2,2757.3109000000004,7.075866666666666,3000.0,13.5,169.6384210884139,890.6747763960706,128.0211547882048,29.274458007474323
29,Fuel-3000,fuel,0-42-33-0,09:30,13:51,2,2653.7112,6.4220516666666665,3000.0,13.5,127.52201960243892,758.9768697174102,98.67887898400457,0.0
30,Fuel-3000,fuel,0-60-0,10:00,11:22,1,2476.6573,6.5043975,3000.0,13.5,36.748182959378,502.5170115661218,28.180823422129535,0.0
31,Fuel-3000,fuel,0-60-0,10:00,11:22,1,2476.6573,6.5043975,3000.0,13.5,36.748182959378,502.5170115661218,28.180823422129535,0.0
32,Fuel-3000,fuel,0-60-0,10:00,11:22,1,2476.6573,6.5043975,3000.0,13.5,36.748182959378,502.5170115661218,28.180823422129535,0.0
33,Fuel-3000,fuel,0-60-0,10:00,11:22,1,2476.6573,6.5043975,3000.0,13.5,36.748182959378,502.5170115661218,28.180823422129535,0.0
34,Fuel-3000,fuel,0-46-82-0,09:45,14:57,2,2959.7674666666667,9.594126666666668,3000.0,13.5,166.2663869489361,893.2386663526551,128.68772137842706,30.113717965760998
35,Fuel-3000,fuel,0-46-70-82-0,09:30,16:04,3,2988.0844333333334,9.238399333333334,3000.0,13.5,197.4208522910205,1033.93659887928,152.7607355739001,90.51936721742095
36,Fuel-3000,fuel,0-87-70-93-95-26-91-0,09:15,18:03,6,2773.4457,8.169872,3000.0,13.5,216.7303137542164,1063.1821636292127,168.82070650838688,26.987688232348887
37,Fuel-3000,fuel,0-70-30-0,08:00,14:30,2,2604.7124,7.278071999999999,3000.0,13.5,193.7367323202764,1012.5939895317763,157.02398484597782,49.64113476927412
38,Fuel-3000,fuel,0-59-90-0,09:30,15:41,2,2309.9455,6.037797500000001,3000.0,13.5,158.98925784238946,863.508499290535,120.94411098258931,0.0
39,Fuel-3000,fuel,0-59-92-0,09:30,15:37,2,2971.5929499999997,7.7214925,3000.0,13.5,162.23768809369432,897.5177439211786,132.1843284065422,0.0
40,Fuel-3000,fuel,0-59-0,09:30,14:18,1,2209.3367,5.8112675000000005,3000.0,13.5,164.154552852561,849.2410241440708,123.4915238161737,0.0
41,Fuel-3000,fuel,0-59-0,09:30,14:18,1,2209.3367,5.8112675000000005,3000.0,13.5,164.154552852561,849.2410241440708,123.4915238161737,0.0
42,Fuel-3000,fuel,0-61-0,11:15,14:58,1,2405.6261999999997,7.39869,3000.0,13.5,113.846992569318,717.5322859151588,87.28620883011902,0.0
43,Fuel-3000,fuel,0-61-0,11:15,14:58,1,2405.6261999999997,7.39869,3000.0,13.5,113.846992569318,717.5322859151588,87.28620883011902,0.0
44,Fuel-3000,fuel,0-61-41-25-0,10:15,17:23,3,2974.3309666666664,8.130845,3000.0,13.5,212.014304600394,1065.0289443369388,170.08605737598316,48.471504371105766
45,Fuel-3000,fuel,0-41-49-0,10:15,15:25,2,2979.3213333333333,8.688810833333335,3000.0,13.5,161.29223228819302,901.3287590477628,129.54432053260444,36.08243589341737
46,Fuel-3000,fuel,0-49-0,13:00,13:56,1,2243.418,6.769475,3000.0,13.5,33.455912679079,490.05524412393896,24.755217637773537,0.0
47,Fuel-3000,fuel,0-49-74-92-0,12:00,16:56,3,2824.7083000000002,8.0296425,3000.0,13.5,143.45065608747763,840.5350344390497,111.91337592189667,40.09599643963725
48,Fuel-3000,fuel,0-74-0,12:45,16:03,1,2822.22915,8.204039999999999,3000.0,13.5,131.671756907125,769.6002697274984,101.59913734165141,0.0
49,Fuel-3000,fuel,0-73-83-0,10:30,15:14,2,2948.8557333333333,7.82396,3000.0,13.5,132.26386662151816,802.3030845050625,110.58878924989821,0.0
50,Fuel-3000,fuel,0-73-39-58-0,10:15,18:17,3,2995.2183166666664,8.308329166666667,3000.0,13.5,251.61669243974842,1200.7858660347322,199.03539177793527,89.24829689032651
51,Fuel-3000,fuel,0-39-97-25-0,11:00,17:23,3,2872.6375,6.825058333333334,3000.0,13.5,187.4362306192033,957.7601940994771,151.91788446620635,2.2787967774653453
52,Fuel-3000,fuel,0-64-39-29-0,13:15,19:26,3,2986.3887999999997,7.2364325,3000.0,13.5,252.63016304373218,1156.829382618713,193.31621252111205,63.7312873025046
53,Fuel-3000,fuel,0-64-0,13:15,15:34,1,2212.4418,5.3740000000000006,3000.0,13.5,96.9481575978232,662.0123099376286,71.89552763795282,0.0
